User_ID,Signup_Date,City,Account_Type,KYC_Status,Trade_ID,Trade_Date,Segment,Buy_Sell,Quantity,Price,Brokerage_Fee,Trade_Value,Revenue,Cost,Profit,Leverage_Used,Margin_Call_Flag,Holding_Time_Hours
U100024,2024-02-17,Pune,Premium,Pending,T700024,2024-08-09,Crypto,Sell,145.14,595.6,43.75,86445.38,43.75,23.51,20.24,2.72,No,119
U100025,2024-03-09,Hyderabad,Basic,Verified,T700025,2024-05-31,Crypto,Buy,399.17,4971.03,37.74,1984286.05,37.74,19.25,18.49,5.48,No,25
U100026,2024-04-08,Kolkata,Premium,Verified,T700026,2024-08-31,F&O,Sell,4.69,836.92,40.89,3925.15,40.89,19.09,21.8,7.71,Yes,78
U100027,2024-05-20,Pune,Basic,Verified,T700027,2024-08-07,Crypto,Sell,496.0,4934.43,18.46,2447477.28,18.46,6.51,11.95,4.56,No,20
U100028,2024-04-15,Mumbai,Basic,Verified,T700028,2024-07-03,Equity,Buy,491.17,3099.71,37.29,1522484.56,37.29,18.36,18.93,3.55,No,119
U100029,2024-01-24,Pune,Basic,Pending,T700029,2024-06-29,Equity,Buy,222.42,2895.46,43.26,644008.21,43.26,21.95,21.31,3.68,No,57
U100030,2024-01-04,Chennai,Basic,Pending,T700030,2024-08-14,Equity,Sell,455.63,778.65,14.02,354776.3,14.02,6.51,7.51,1.22,No,107
U100031,2024-03-15,Chennai,Basic,Pending,T700031,2024-08-25,F&O,Sell,80.2,4365.43,9.54,350107.49,9.54,4.28,5.26,2.05,No,15
U100032,2024-05-18,Kolkata,Premium,Verified,T700032,2024-09-15,F&O,Sell,484.18,2873.5,21.6,1391291.23,21.6,11.14,10.46,3.81,No,41
U100033,2024-02-17,Mumbai,Basic,Verified,T700033,2024-07-07,F&O,Sell,63.4,2600.61,5.37,164878.67,5.37,1.68,3.69,6.66,No,45
U100034,2024-04-18,Hyderabad,Premium,Verified,T700034,2024-09-16,Equity,Buy,366.68,595.88,27.24,218497.28,27.24,14.14,13.1,1.71,No,112
U100035,2024-04-28,Kolkata,Premium,Verified,T700035,2024-09-02,Crypto,Buy,346.45,1974.4,43.87,684030.88,43.87,20.93,22.94,7.68,Yes,114
U100036,2024-03-05,Chennai,Basic,Pending,T700036,2024-10-26,Crypto,Buy,224.43,2751.83,35.95,617593.21,35.95,20.31,15.64,7.94,No,1
U100037,2024-03-25,Kolkata,Basic,Verified,T700037,2024-10-17,F&O,Sell,385.85,3360.59,13.44,1296683.65,13.44,4.84,8.6,2.5,No,10
U100038,2024-03-26,Delhi,Basic,Pending,T700038,2024-06-09,Crypto,Buy,365.67,2510.29,10.76,917937.74,10.76,3.76,7.0,6.13,Yes,29
U100039,2024-05-23,Mumbai,Premium,Verified,T700039,2024-07-21,Crypto,Buy,394.59,2015.41,9.3,795260.63,9.3,3.96,5.34,5.44,No,8
U100040,2024-03-11,Chennai,Premium,Pending,T700040,2024-08-27,Equity,Buy,114.31,1589.99,42.73,181751.76,42.73,18.59,24.14,5.89,Yes,13
U100041,2024-01-18,Kolkata,Premium,Verified,T700041,2024-07-11,F&O,Buy,265.38,1069.68,33.52,283871.68,33.52,17.38,16.14,4.72,No,65
U100042,2024-01-12,Mumbai,Basic,Pending,T700042,2024-06-23,Crypto,Buy,26.52,4796.12,48.89,127193.1,48.89,21.58,27.31,4.05,No,7
U100043,2024-01-17,Mumbai,Premium,Pending,T700043,2024-10-26,Crypto,Sell,370.43,4832.16,8.96,1789977.03,8.96,4.18,4.78,3.73,No,118
U100044,2024-04-03,Bengaluru,Basic,Verified,T700044,2024-10-03,F&O,Buy,440.02,4077.77,12.05,1794300.36,12.05,3.99,8.06,6.61,Yes,39
U100045,2024-04-21,Delhi,Premium,Verified,T700045,2024-08-29,Equity,Sell,284.03,150.68,21.31,42797.64,21.31,9.44,11.87,6.84,No,40
U100046,2024-03-10,Bengaluru,Basic,Pending,T700046,2024-08-25,F&O,Sell,237.97,1018.7,14.55,242420.04,14.55,5.64,8.91,3.72,No,44
U100047,2024-04-07,Mumbai,Premium,Verified,T700047,2024-08-22,F&O,Buy,201.38,2371.38,38.47,477548.5,38.47,22.71,15.76,7.02,No,72
U100048,2024-01-27,Pune,Premium,Verified,T700048,2024-10-08,Crypto,Buy,220.96,2410.23,49.44,532564.42,49.44,17.51,31.93,7.66,No,39
U100049,2024-05-17,Bengaluru,Premium,Pending,T700049,2024-10-19,Crypto,Buy,248.27,4269.05,29.84,1059877.04,29.84,10.19,19.65,3.45,No,70
U100050,2024-01-26,Mumbai,Basic,Pending,T700050,2024-10-01,Equity,Buy,29.6,366.0,47.0,10833.6,47.0,25.92,21.08,5.34,No,101
U100051,2024-04-16,Pune,Basic,Verified,T700051,2024-07-17,Equity,Sell,459.28,2794.34,24.29,1283384.48,24.29,13.11,11.18,3.46,No,104
U100052,2024-01-22,Delhi,Premium,Pending,T700052,2024-10-16,Equity,Buy,445.96,3417.38,12.26,1524014.78,12.26,3.84,8.42,6.36,Yes,108
U100053,2024-01-22,Chennai,Premium,Verified,T700053,2024-09-11,Crypto,Sell,420.47,958.16,22.45,402877.54,22.45,7.52,14.93,4.48,No,94
U100054,2024-04-12,Kolkata,Basic,Verified,T700054,2024-09-01,Crypto,Buy,336.66,2170.14,19.58,730599.33,19.58,11.6,7.98,1.51,No,79
U100055,2024-02-19,Hyderabad,Premium,Verified,T700055,2024-10-19,Equity,Buy,199.73,4483.96,23.92,895581.33,23.92,13.39,10.53,3.88,No,62
U100056,2024-01-25,Pune,Premium,Pending,T700056,2024-06-15,Equity,Buy,43.43,3791.0,30.27,164643.13,30.27,9.19,21.08,2.44,No,72
U100057,2024-03-15,Mumbai,Basic,Verified,T700057,2024-10-18,Equity,Sell,165.82,506.89,35.37,84052.5,35.37,16.63,18.74,4.52,No,9
U100058,2024-04-07,Pune,Basic,Verified,T700058,2024-06-27,Crypto,Sell,239.88,1373.2,22.0,329403.22,22.0,8.74,13.26,3.91,No,29
U100059,2024-02-06,Bengaluru,Basic,Pending,T700059,2024-10-20,Equity,Sell,39.0,1940.46,30.6,75677.94,30.6,14.2,16.4,4.78,No,73
U100060,2024-01-31,Hyderabad,Premium,Verified,T700060,2024-06-13,Crypto,Buy,442.97,1658.54,24.28,734683.46,24.28,10.0,14.28,1.36,No,19
U100061,2024-04-09,Pune,Basic,Pending,T700061,2024-08-05,F&O,Sell,315.69,3517.35,11.78,1110392.22,11.78,5.55,6.23,6.54,Yes,76
U100062,2024-02-23,Hyderabad,Basic,Pending,T700062,2024-06-16,Crypto,Buy,441.16,4425.09,28.13,1952172.7,28.13,14.26,13.87,5.6,Yes,6
U100063,2024-02-06,Kolkata,Basic,Verified,T700063,2024-10-15,F&O,Sell,427.66,4098.3,24.93,1752678.98,24.93,11.0,13.93,4.91,No,108
U100064,2024-05-10,Mumbai,Basic,Pending,T700064,2024-09-05,F&O,Sell,96.06,1499.06,6.85,143999.7,6.85,3.83,3.02,1.69,No,42
U100065,2024-04-13,Mumbai,Premium,Pending,T700065,2024-10-02,F&O,Buy,443.27,4630.57,41.67,2052592.76,41.67,17.07,24.6,5.29,No,86
U100066,2024-02-20,Kolkata,Premium,Verified,T700066,2024-06-15,F&O,Sell,71.2,199.49,8.32,14203.69,8.32,3.55,4.77,6.49,No,10
U100067,2024-03-15,Mumbai,Basic,Pending,T700067,2024-07-18,Equity,Sell,455.23,4552.92,41.13,2072625.77,41.13,14.46,26.67,4.11,No,86
U100068,2024-02-15,Bengaluru,Premium,Verified,T700068,2024-06-01,F&O,Buy,472.65,1597.43,8.21,755025.29,8.21,2.73,5.48,5.87,Yes,80
U100069,2024-03-06,Chennai,Premium,Verified,T700069,2024-07-12,Equity,Sell,39.49,4247.44,19.79,167731.41,19.79,10.77,9.02,3.09,No,17
U100070,2024-04-23,Pune,Premium,Pending,T700070,2024-07-25,Equity,Sell,61.29,4140.93,34.46,253797.6,34.46,16.82,17.64,3.64,No,70
U100071,2024-03-02,Kolkata,Basic,Pending,T700071,2024-08-12,Equity,Sell,58.23,4040.83,28.76,235297.53,28.76,16.27,12.49,7.39,No,31
U100072,2024-03-13,Kolkata,Premium,Pending,T700072,2024-08-19,Equity,Sell,237.02,995.91,40.15,236050.59,40.15,23.42,16.73,7.61,Yes,107
U100073,2024-02-07,Bengaluru,Basic,Verified,T700073,2024-06-06,Equity,Buy,150.35,1148.69,27.12,172705.54,27.12,13.19,13.93,3.5,No,93
U100074,2024-02-15,Bengaluru,Basic,Verified,T700074,2024-06-27,F&O,Buy,275.34,1433.39,10.89,394669.6,10.89,3.97,6.92,7.28,Yes,79
U100075,2024-03-05,Chennai,Basic,Verified,T700075,2024-09-20,F&O,Sell,93.51,3229.55,16.17,301995.22,16.17,5.59,10.58,1.7,No,29
U100076,2024-01-28,Mumbai,Premium,Pending,T700076,2024-10-02,Equity,Buy,288.85,2697.02,46.93,779034.23,46.93,25.42,21.51,2.69,No,47
U100077,2024-03-20,Chennai,Basic,Pending,T700077,2024-07-24,Crypto,Buy,88.85,3885.87,31.06,345259.55,31.06,15.44,15.62,2.19,No,78
U100078,2024-05-02,Hyderabad,Basic,Pending,T700078,2024-08-30,F&O,Sell,141.16,4597.65,29.67,649004.27,29.67,10.23,19.44,7.46,Yes,82
U100079,2024-04-18,Kolkata,Premium,Verified,T700079,2024-08-01,Equity,Buy,129.02,3825.47,31.14,493562.14,31.14,11.82,19.32,5.63,Yes,115
U100080,2024-05-30,Kolkata,Premium,Verified,T700080,2024-09-26,F&O,Sell,485.08,4293.81,29.5,2082841.35,29.5,15.98,13.52,7.8,Yes,100
U100081,2024-04-04,Pune,Premium,Verified,T700081,2024-07-01,Crypto,Sell,421.28,4141.42,42.7,1744697.42,42.7,14.49,28.21,2.4,No,56
U100082,2024-03-28,Delhi,Basic,Verified,T700082,2024-08-17,Crypto,Buy,127.77,1341.29,15.39,171376.62,15.39,7.56,7.83,6.42,No,84
U100083,2024-02-26,Delhi,Premium,Verified,T700083,2024-06-28,Equity,Buy,73.0,1432.6,17.12,104579.8,17.12,7.08,10.04,6.59,Yes,105
U100084,2024-05-05,Chennai,Premium,Pending,T700084,2024-09-07,Equity,Sell,76.36,4090.07,46.21,312317.75,46.21,17.27,28.94,7.2,Yes,58
U100085,2024-03-08,Chennai,Basic,Verified,T700085,2024-08-20,Crypto,Buy,442.05,1547.11,27.32,683899.98,27.32,12.37,14.95,4.8,No,85
U100086,2024-05-07,Pune,Premium,Verified,T700086,2024-10-02,Equity,Sell,216.35,4100.29,18.11,887097.74,18.11,10.61,7.5,5.68,Yes,88
U100087,2024-02-29,Delhi,Basic,Verified,T700087,2024-10-20,Equity,Buy,275.3,210.11,34.25,57843.28,34.25,13.68,20.57,5.14,No,38
U100088,2024-01-14,Hyderabad,Premium,Verified,T700088,2024-09-17,Equity,Sell,11.22,4796.09,38.09,53812.13,38.09,20.98,17.11,5.37,No,65
U100089,2024-03-23,Hyderabad,Premium,Verified,T700089,2024-10-04,F&O,Sell,50.86,2045.92,11.54,104055.49,11.54,5.35,6.19,2.83,No,5
U100090,2024-01-14,Pune,Premium,Pending,T700090,2024-07-16,F&O,Sell,115.57,2182.42,15.34,252222.28,15.34,5.69,9.65,4.81,No,87
U100091,2024-01-04,Hyderabad,Premium,Verified,T700091,2024-10-25,Crypto,Sell,1.85,983.68,5.92,1819.81,5.92,3.14,2.78,1.16,No,72
U100092,2024-03-30,Bengaluru,Premium,Pending,T700092,2024-09-23,F&O,Sell,445.37,2350.12,16.68,1046672.94,16.68,6.01,10.67,1.97,No,88
U100093,2024-01-19,Kolkata,Premium,Verified,T700093,2024-07-15,F&O,Buy,398.84,322.03,37.97,128438.45,37.97,19.97,18.0,6.94,No,55
U100094,2024-03-03,Chennai,Premium,Pending,T700094,2024-06-30,Equity,Buy,473.7,2822.15,45.87,1336852.46,45.87,18.08,27.79,1.5,No,49
U100095,2024-03-08,Kolkata,Basic,Pending,T700095,2024-09-16,F&O,Sell,79.76,1624.21,33.23,129546.99,33.23,14.44,18.79,4.27,No,48
U100096,2024-04-04,Mumbai,Basic,Pending,T700096,2024-06-18,Equity,Sell,289.28,4412.12,38.78,1276338.07,38.78,18.97,19.81,1.24,No,63
U100097,2024-02-25,Kolkata,Premium,Verified,T700097,2024-08-13,F&O,Buy,482.57,230.53,44.69,111246.86,44.69,18.36,26.33,5.57,Yes,4
U100098,2024-03-25,Delhi,Basic,Pending,T700098,2024-08-17,Crypto,Buy,58.93,3783.01,41.56,222932.78,41.56,18.2,23.36,1.12,No,64
U100099,2024-04-12,Mumbai,Premium,Verified,T700099,2024-07-04,Crypto,Sell,330.29,4003.81,32.98,1322418.4,32.98,13.83,19.15,5.34,No,99
U100100,2024-04-24,Pune,Premium,Verified,T700100,2024-09-02,Equity,Sell,303.87,175.76,24.18,53408.19,24.18,13.85,10.33,7.04,Yes,68
U100101,2024-03-24,Hyderabad,Basic,Verified,T700101,2024-10-09,Equity,Buy,349.11,2104.42,35.24,734674.07,35.24,13.29,21.95,6.62,No,51
U100102,2024-02-05,Pune,Premium,Pending,T700102,2024-06-17,F&O,Buy,270.52,4120.45,15.87,1114664.13,15.87,6.33,9.54,3.73,No,83
U100103,2024-03-26,Delhi,Premium,Pending,T700103,2024-09-06,Equity,Sell,235.91,1693.17,39.44,399435.73,39.44,19.87,19.57,5.61,No,6
U100104,2024-03-20,Bengaluru,Basic,Verified,T700104,2024-09-03,Crypto,Buy,332.28,3193.76,14.88,1061222.57,14.88,7.05,7.83,5.1,No,49
U100105,2024-04-08,Delhi,Basic,Verified,T700105,2024-06-27,F&O,Buy,66.03,1171.23,16.27,77336.32,16.27,6.67,9.6,7.2,No,98
U100106,2024-03-28,Hyderabad,Basic,Pending,T700106,2024-06-06,F&O,Buy,31.11,4568.15,22.33,142115.15,22.33,12.93,9.4,4.45,No,46
U100107,2024-03-19,Kolkata,Basic,Pending,T700107,2024-07-24,Crypto,Buy,292.49,4845.8,32.69,1417348.04,32.69,9.86,22.83,7.26,Yes,80
U100108,2024-04-23,Mumbai,Basic,Verified,T700108,2024-07-09,Equity,Buy,301.64,2852.75,37.35,860503.51,37.35,19.08,18.27,7.06,Yes,41
U100109,2024-04-25,Chennai,Premium,Verified,T700109,2024-06-08,F&O,Sell,485.61,4411.92,17.59,2142472.47,17.59,6.16,11.43,3.2,No,102
U100110,2024-04-14,Mumbai,Basic,Verified,T700110,2024-08-12,Equity,Buy,45.07,182.36,37.14,8218.97,37.14,20.26,16.88,4.93,No,6
U100111,2024-02-25,Delhi,Basic,Verified,T700111,2024-07-05,Crypto,Buy,451.45,1107.27,9.05,499877.04,9.05,2.72,6.33,2.4,No,114
U100112,2024-02-24,Pune,Premium,Pending,T700112,2024-06-13,Crypto,Sell,142.62,433.18,21.45,61780.13,21.45,10.61,10.84,4.28,No,97
U100113,2024-01-19,Pune,Basic,Pending,T700113,2024-08-01,Crypto,Buy,372.08,2754.1,9.18,1024745.53,9.18,3.27,5.91,1.73,No,2
U100114,2024-05-16,Chennai,Basic,Pending,T700114,2024-06-09,Equity,Sell,304.75,981.86,36.08,299221.84,36.08,21.37,14.71,5.93,Yes,3
U100115,2024-01-28,Chennai,Basic,Pending,T700115,2024-07-23,F&O,Buy,314.49,2906.71,49.98,914131.23,49.98,27.45,22.53,2.91,No,94
U100116,2024-01-09,Pune,Premium,Verified,T700116,2024-08-07,F&O,Sell,171.64,1911.95,26.68,328167.1,26.68,13.23,13.45,3.02,No,107
U100117,2024-02-03,Kolkata,Basic,Pending,T700117,2024-06-19,Equity,Sell,39.16,4105.29,19.18,160763.16,19.18,7.28,11.9,5.79,Yes,76
U100118,2024-01-13,Bengaluru,Basic,Pending,T700118,2024-08-04,Equity,Sell,237.4,2930.33,42.84,695660.34,42.84,19.05,23.79,6.6,Yes,49
U100119,2024-04-21,Hyderabad,Basic,Pending,T700119,2024-07-17,Crypto,Buy,171.32,3129.72,28.8,536183.63,28.8,12.39,16.41,3.16,No,34
U100120,2024-03-14,Chennai,Premium,Verified,T700120,2024-07-30,Crypto,Buy,95.44,2200.2,12.64,209987.09,12.64,5.37,7.27,2.21,No,14
U100121,2024-05-24,Chennai,Basic,Pending,T700121,2024-07-23,Crypto,Sell,37.77,2630.99,46.72,99372.49,46.72,27.05,19.67,3.66,No,74
U100122,2024-02-22,Pune,Premium,Verified,T700122,2024-08-16,Equity,Sell,435.46,4653.31,15.91,2026330.37,15.91,7.95,7.96,5.78,No,42
U100123,2024-05-20,Mumbai,Basic,Pending,T700123,2024-09-13,F&O,Sell,104.44,4727.99,29.54,493791.28,29.54,14.22,15.32,4.9,No,51
U100124,2024-03-17,Chennai,Basic,Verified,T700124,2024-07-16,Equity,Buy,274.79,4358.39,45.28,1197641.99,45.28,16.7,28.58,4.2,No,14
U100125,2024-05-24,Delhi,Basic,Pending,T700125,2024-06-16,F&O,Buy,471.16,3690.47,48.28,1738801.85,48.28,19.7,28.58,1.43,No,114
U100126,2024-01-29,Delhi,Premium,Verified,T700126,2024-10-09,Crypto,Buy,213.82,4322.54,46.76,924245.5,46.76,25.82,20.94,1.64,No,95
U100127,2024-03-15,Delhi,Premium,Pending,T700127,2024-07-30,Crypto,Sell,36.56,4667.31,26.15,170636.85,26.15,14.1,12.05,5.98,No,92
U100128,2024-05-25,Mumbai,Premium,Pending,T700128,2024-10-26,Equity,Sell,73.68,1094.54,19.67,80645.71,19.67,9.23,10.44,3.38,No,22
U100129,2024-01-25,Kolkata,Premium,Pending,T700129,2024-09-25,Equity,Buy,237.95,1690.61,47.69,402280.65,47.69,23.73,23.96,1.01,No,86
U100130,2024-04-04,Delhi,Basic,Pending,T700130,2024-07-03,F&O,Buy,456.16,3128.68,11.76,1427178.67,11.76,6.65,5.11,6.09,No,5
U100131,2024-03-04,Kolkata,Premium,Verified,T700131,2024-06-03,Crypto,Sell,371.4,1214.5,36.17,451065.3,36.17,15.2,20.97,5.97,Yes,112
U100132,2024-05-23,Pune,Premium,Verified,T700132,2024-06-29,Crypto,Buy,444.95,2088.51,27.93,929282.52,27.93,11.25,16.68,3.23,No,24
U100133,2024-05-29,Kolkata,Basic,Pending,T700133,2024-08-21,Equity,Buy,436.4,2577.1,6.58,1124646.44,6.58,3.09,3.49,5.5,No,105
U100134,2024-05-21,Kolkata,Premium,Verified,T700134,2024-07-24,Equity,Buy,289.83,2644.21,9.66,766371.38,9.66,4.07,5.59,7.31,Yes,87
U100135,2024-01-15,Pune,Basic,Pending,T700135,2024-06-22,Crypto,Buy,484.89,3866.64,16.63,1874895.07,16.63,7.47,9.16,5.02,No,37
U100136,2024-03-12,Mumbai,Basic,Pending,T700136,2024-10-13,Crypto,Sell,377.11,1728.13,6.89,651695.1,6.89,3.86,3.03,3.72,No,85
U100137,2024-04-08,Mumbai,Premium,Verified,T700137,2024-07-13,F&O,Buy,482.36,1315.42,9.22,634505.99,9.22,4.82,4.4,1.19,No,113
U100138,2024-05-05,Delhi,Basic,Pending,T700138,2024-09-08,Crypto,Buy,14.77,470.8,11.2,6953.72,11.2,3.67,7.53,2.99,No,18
U100139,2024-05-30,Pune,Basic,Pending,T700139,2024-09-23,F&O,Sell,218.15,1385.26,41.36,302194.47,41.36,24.15,17.21,6.66,Yes,45
U100140,2024-05-07,Pune,Premium,Pending,T700140,2024-08-26,Crypto,Buy,367.02,3730.99,43.32,1369347.95,43.32,13.98,29.34,2.63,No,112
U100141,2024-02-01,Chennai,Basic,Pending,T700141,2024-09-07,Crypto,Buy,412.18,1382.84,49.49,569978.99,49.49,15.41,34.08,5.59,Yes,18
U100142,2024-04-06,Pune,Basic,Pending,T700142,2024-09-10,Crypto,Buy,21.14,504.04,9.03,10655.41,9.03,3.06,5.97,7.88,Yes,60
U100143,2024-02-03,Bengaluru,Premium,Pending,T700143,2024-06-14,Equity,Sell,142.92,2956.19,26.39,422498.67,26.39,10.15,16.24,1.94,No,1
U100144,2024-04-20,Hyderabad,Basic,Pending,T700144,2024-08-29,Crypto,Sell,98.76,4736.41,9.49,467767.85,9.49,5.45,4.04,2.86,No,100
U100145,2024-03-27,Kolkata,Premium,Pending,T700145,2024-10-17,F&O,Buy,294.06,183.77,11.42,54039.41,11.42,4.83,6.59,1.94,No,54
U100146,2024-02-13,Hyderabad,Premium,Pending,T700146,2024-07-03,Equity,Buy,336.69,783.33,44.87,263739.38,44.87,16.5,28.37,1.85,No,87
U100147,2024-02-23,Delhi,Basic,Verified,T700147,2024-06-30,Crypto,Buy,166.42,4644.45,13.49,772929.37,13.49,5.35,8.14,8.0,Yes,46
U100148,2024-05-14,Mumbai,Basic,Pending,T700148,2024-08-12,Crypto,Sell,279.11,2423.55,13.48,676437.04,13.48,6.67,6.81,2.11,No,73
U100149,2024-05-14,Delhi,Basic,Pending,T700149,2024-08-16,Equity,Buy,141.48,50.04,21.17,7079.66,21.17,8.29,12.88,6.34,No,86
U100150,2024-01-21,Hyderabad,Premium,Pending,T700150,2024-08-31,Crypto,Buy,344.54,4281.73,40.75,1475227.25,40.75,19.56,21.19,6.51,Yes,99
U100151,2024-02-27,Bengaluru,Basic,Verified,T700151,2024-06-30,F&O,Buy,373.07,1563.92,8.85,583451.63,8.85,4.77,4.08,4.32,No,25
U100152,2024-03-12,Kolkata,Premium,Verified,T700152,2024-07-01,Crypto,Buy,252.58,1922.8,15.55,485660.82,15.55,8.13,7.42,2.49,No,62
U100153,2024-04-29,Bengaluru,Basic,Verified,T700153,2024-10-20,Crypto,Sell,264.22,704.92,44.71,186253.96,44.71,22.82,21.89,6.67,No,107
U100154,2024-01-05,Delhi,Basic,Pending,T700154,2024-06-11,F&O,Buy,50.63,3414.8,5.99,172891.32,5.99,3.01,2.98,5.11,No,98
U100155,2024-03-28,Mumbai,Basic,Verified,T700155,2024-10-18,Equity,Buy,210.52,1661.36,42.47,349749.51,42.47,19.23,23.24,1.7,No,45
U100156,2024-05-11,Mumbai,Premium,Pending,T700156,2024-08-09,F&O,Sell,94.9,149.66,23.03,14202.73,23.03,8.69,14.34,6.0,Yes,10
U100157,2024-05-30,Bengaluru,Premium,Verified,T700157,2024-07-01,F&O,Buy,181.21,2363.68,36.78,428322.45,36.78,18.15,18.63,6.99,Yes,36
U100158,2024-05-24,Chennai,Premium,Pending,T700158,2024-10-21,Crypto,Sell,54.84,3908.64,33.64,214349.82,33.64,11.97,21.67,7.93,Yes,46
U100159,2024-02-05,Delhi,Premium,Verified,T700159,2024-07-25,F&O,Buy,427.33,2250.54,14.42,961723.26,14.42,7.59,6.83,2.86,No,28
U100160,2024-01-07,Mumbai,Basic,Verified,T700160,2024-06-02,Equity,Sell,205.13,2407.78,10.8,493907.91,10.8,6.24,4.56,1.36,No,94
U100161,2024-01-31,Kolkata,Premium,Pending,T700161,2024-10-23,F&O,Buy,33.66,2167.65,33.07,72963.1,33.07,14.66,18.41,3.44,No,49
U100162,2024-01-13,Delhi,Premium,Verified,T700162,2024-09-23,Equity,Sell,469.92,4506.33,26.91,2117614.59,26.91,11.34,15.57,6.0,Yes,7
U100163,2024-04-07,Bengaluru,Premium,Pending,T700163,2024-08-23,Equity,Sell,449.09,2076.21,9.07,932405.15,9.07,4.96,4.11,1.12,No,36
U100164,2024-03-02,Chennai,Premium,Pending,T700164,2024-08-19,Equity,Sell,121.32,1810.63,37.83,219665.63,37.83,18.26,19.57,4.57,No,108
U100165,2024-05-02,Chennai,Basic,Pending,T700165,2024-10-21,Equity,Buy,124.92,2887.44,32.47,360699.0,32.47,16.43,16.04,1.94,No,82
U100166,2024-02-15,Hyderabad,Premium,Verified,T700166,2024-08-08,Equity,Sell,68.19,1124.64,31.04,76689.2,31.04,10.69,20.35,1.23,No,70
